CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,CONFLICTNO,VEHNO,CONTACT,CASEWGT,PSUSTRAT,VERSION
2401724,22,52,1-22-2024-052-NM2,22,1,3,1,A,30.6635507189318,12,9
2400112,28,2,1-28-2024-002-NM2,22,1,1,1,A,55.8454658150129,3,9
2400112,28,2,1-28-2024-002-NM2,22,1,1,1,B,55.8454658150129,3,9
2400112,28,2,1-28-2024-002-NM2,22,1,2,1,C,55.8454658150129,3,9
2402434,30,83,1-30-2024-083-NM2,22,1,1,1,A,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,1,1,B,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,1,1,C,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,1,1,D,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,1,1,E,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,2,1,F,361.666104097377,10,9
2404927,54,110,1-54-2024-110-NM1,21,1,2,2,A,158.05614243884,9,9
2404927,54,110,1-54-2024-110-NM1,21,1,2,2,B,158.05614243884,9,9
2404927,54,110,1-54-2024-110-NM1,21,1,2,2,C,158.05614243884,9,9
2404927,54,110,1-54-2024-110-NM1,21,1,2,2,D,158.05614243884,9,9
2404927,54,110,1-54-2024-110-NM1,21,1,2,2,E,158.05614243884,9,9
2404927,54,110,1-54-2024-110-NM1,21,1,3,2,F,158.05614243884,9,9
2402434,30,83,1-30-2024-083-NM2,22,1,3,1,H,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,3,1,G,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,4,1,I,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,4,1,J,361.666104097377,10,9
2402434,30,83,1-30-2024-083-NM2,22,1,5,1,K,361.666104097377,10,9
2404927,54,110,1-54-2024-110-NM1,21,1,1,1,A,158.05614243884,9,9
2403576,30,126,1-30-2024-126-NM2,22,1,2,1,A,516.81832296578,10,9
2404117,24,116,1-24-2024-116-NM2,22,1,2,1,A,150.695729579903,1,9
2404449,11,136,1-11-2024-136-NM1,21,1,1,1,A,37.1071357763572,8,9
2404449,11,136,1-11-2024-136-NM1,21,1,1,1,B,37.1071357763572,8,9
2404449,11,136,1-11-2024-136-NM1,21,1,2,1,C,37.1071357763572,8,9
2404449,11,136,1-11-2024-136-NM1,21,1,3,1,E,37.1071357763572,8,9
2404449,11,136,1-11-2024-136-NM1,21,1,3,1,F,37.1071357763572,8,9
2404449,11,136,1-11-2024-136-NM1,21,1,4,1,G,37.1071357763572,8,9
2404140,15,164,1-15-2024-164-NM2,22,1,4,1,A,26.3765495179532,1,9
